,USER_ID,TRANSACTION_ID,DATE,PRODUCT_ID,QUANTITY
0,14,ye2z9,2023-01-01,A,3.0
1,17,2yb1J,2023-01-01,E,3.0
2,1,EhrXU,2023-01-01,C,4.0
3,5,9tNQZ,2023-01-01,D,2.0
4,17,Mv68i,2023-01-02,A,3.0
5,16,HR2NA,2023-01-02,E,2.0
6,6,opupp,2023-01-02,A,2.0
7,16,ocefr,2023-01-03,E,1.0
8,12,aFHmx,2023-01-03,B,4.0
9,8,wNOL4,2023-01-03,C,3.0
10,5,f2W6h,2023-01-04,C,4.0
11,2,vdMRh,2023-01-04,C,2.0
12,10,hnBxR,2023-01-04,D,2.0
13,3,dmuSq,2023-01-05,D,2.0
14,16,uphKe,2023-01-05,B,4.0
15,17,D7wOJ,2023-01-05,D,4.0
16,3,sZ00H,2023-01-06,A,3.0
17,19,UDh5n,2023-01-07,D,3.0
18,15,aoq8V,2023-01-07,B,2.0
19,8,H6rWS,2023-01-07,A,4.0
20,6,q4RSP,2023-01-07,C,4.0
21,19,hbg1P,2023-01-08,D,3.0
22,17,2kdiQ,2023-01-08,C,1.0
23,10,PT8Ge,2023-01-09,A,4.0
24,8,hAXQ2,2023-01-10,D,4.0
25,13,WCcJ4,2023-01-10,C,3.0
26,1,hyXzF,2023-01-10,D,3.0
27,12,f8zUX,2023-01-11,B,1.0
28,4,mDYuC,2023-01-11,E,1.0
29,8,DFZej,2023-01-12,E,1.0
30,6,ius35,2023-01-12,D,1.0
32,3,luPb1,2023-01-12,D,2.0
33,17,W4BlP,2023-01-13,C,1.0
35,1,Swe6T,2023-01-13,B,4.0
36,16,Ff4bk,2023-01-14,E,4.0
37,2,Gs3Of,2023-01-14,A,3.0
38,9,04uHr,2023-01-15,E,3.0
39,10,RLfJZ,2023-01-15,B,1.0
40,6,J6CVe,2023-01-15,D,1.0
41,8,u5HAR,2023-01-16,C,1.0
42,6,HQ8gE,2023-01-17,D,2.0
43,12,hyshQ,2023-01-17,B,1.0
44,1,emwIw,2023-01-17,D,4.0
45,17,nrPt9,2023-01-18,C,4.0
49,14,yt6j0,2023-01-20,B,3.0
50,15,424Ie,2023-01-20,D,4.0
51,9,WY6QV,2023-01-20,E,3.0
52,11,qpNgj,2023-01-21,A,4.0
53,10,wKDLI,2023-01-21,D,3.0
54,13,XEDNx,2023-01-21,B,1.0
55,7,M0mEd,2023-01-22,A,4.0
56,10,FLTVg,2023-01-22,A,3.0
57,19,dXXRB,2023-01-22,C,1.0
58,11,P8Adq,2023-01-23,E,2.0
62,18,a8Hys,2023-01-24,C,3.0
63,4,zGUZh,2023-01-24,E,4.0
64,6,XuW1w,2023-01-24,E,3.0
65,6,81Fni,2023-01-25,E,3.0
66,14,PMI8j,2023-01-25,B,3.0
67,14,hgOSY,2023-01-25,D,2.0
68,12,oRCMy,2023-01-26,E,2.0
69,16,3GlOT,2023-01-26,D,2.0
70,14,tg3I1,2023-01-26,E,2.0
71,16,ytS9q,2023-01-26,D,1.0
72,4,SCKar,2023-01-27,B,2.0
73,19,nMil2,2023-01-27,C,2.0
74,9,sPVfi,2023-01-28,D,2.0
75,2,DUiuB,2023-01-29,B,4.0
76,8,57C9Q,2023-01-29,D,2.0
77,1,nnTMv,2023-01-29,B,3.0
78,15,wcyNv,2023-01-30,B,1.0
79,13,CR0Yb,2023-01-30,E,4.0
80,4,t6rQu,2023-01-30,E,2.0
81,3,AFlIK,2023-01-30,B,4.0
82,1,bgD2B,2023-01-31,D,3.0
83,2,BRwx6,2023-01-31,A,2.0
84,16,p7jsD,2023-01-31,E,2.0
85,9,Jc3sc,2023-01-31,B,3.0
86,18,fmSaM,2023-02-01,B,3.0
87,14,fskwN,2023-02-02,D,4.0
88,6,ZobLy,2023-02-02,E,3.0
89,5,HbCBQ,2023-02-03,D,1.0
90,9,RaX9J,2023-02-03,B,2.0
91,15,sFXE7,2023-02-03,E,3.0
92,15,mHguw,2023-02-03,B,4.0
93,1,qInrP,2023-02-04,B,3.0
95,14,X7ELA,2023-02-04,C,1.0
96,16,Z3x2P,2023-02-04,C,4.0
97,11,RZcdW,2023-02-05,C,3.0
98,11,G8RSf,2023-02-05,C,1.0
99,11,J2ads,2023-02-05,A,3.0
100,7,nAjVS,2023-02-05,B,3.0
101,1,4pQnZ,2023-02-06,D,2.0
102,8,571hn,2023-02-06,A,3.0
103,19,exvKL,2023-02-06,C,4.0
105,3,HpN69,2023-02-07,A,3.0
106,9,ZTFka,2023-02-08,E,3.0
107,8,6e2uy,2023-02-09,A,4.0
108,16,tzhBN,2023-02-09,A,3.0
110,2,Nd36p,2023-02-10,C,3.0
111,19,LrX36,2023-02-10,C,3.0
112,8,P91ox,2023-02-11,D,3.0
113,11,MaAI5,2023-02-11,D,4.0
114,9,8HkYk,2023-02-12,B,1.0
116,12,ZZuCX,2023-02-13,A,2.0
117,7,u1BGb,2023-02-13,D,2.0
118,14,KMURD,2023-02-13,B,2.0
119,13,AjWFZ,2023-02-13,A,3.0
120,19,aiuI6,2023-02-14,A,1.0
121,14,dikzs,2023-02-14,A,2.0
122,14,adhRB,2023-02-15,E,4.0
123,17,rFtgm,2023-02-16,E,3.0
124,1,207KU,2023-02-16,C,3.0
125,18,RqVfD,2023-02-16,E,4.0
126,12,VAUGZ,2023-02-17,D,1.0
127,1,gjORd,2023-02-18,C,1.0
128,19,iPxhG,2023-02-18,C,4.0
129,1,dYq3I,2023-02-19,C,4.0
130,18,LNV6G,2023-02-20,B,3.0
132,18,Opclf,2023-02-20,A,2.0
133,4,IMDRV,2023-02-21,D,4.0
134,4,uuG1O,2023-02-22,A,2.0
135,3,uCOFM,2023-02-22,C,4.0
136,18,2DPhE,2023-02-22,A,4.0
137,1,GDTee,2023-02-23,D,2.0
138,7,SoFOR,2023-02-24,D,2.0
140,5,sirTy,2023-02-25,E,4.0
141,10,YYMNz,2023-02-25,B,3.0
142,11,M45Mq,2023-02-25,B,1.0
143,12,qMgfv,2023-02-26,B,3.0
144,16,M3LKq,2023-02-26,D,2.0
145,19,t4ImG,2023-02-27,B,3.0
146,8,Wp1Og,2023-02-27,B,2.0
147,19,JuNqi,2023-02-27,B,4.0
148,17,rELP7,2023-02-28,B,4.0
149,13,98cLZ,2023-03-01,A,4.0
150,5,OW5hv,2023-03-01,B,1.0
151,13,Use73,2023-03-01,B,3.0
152,5,Bdk6d,2023-03-01,A,4.0
153,6,O7MyV,2023-03-02,D,3.0
154,8,ZS3o3,2023-03-03,B,1.0
155,5,lfY1L,2023-03-04,D,1.0
156,10,IiVOK,2023-03-04,E,4.0
157,18,9sCkz,2023-03-04,E,3.0
159,16,aNCSd,2023-03-05,E,3.0
160,18,uvX20,2023-03-05,B,3.0
161,10,0m4VH,2023-03-06,E,4.0
162,16,amRwq,2023-03-07,D,2.0
163,18,uwWmZ,2023-03-07,A,3.0
164,14,N4QP2,2023-03-07,A,1.0
165,4,ovZAL,2023-03-08,E,3.0
166,2,N1NMx,2023-03-08,A,1.0
167,14,HMhzW,2023-03-08,D,4.0
168,1,iZWUp,2023-03-08,D,1.0
169,19,uVCHY,2023-03-09,D,2.0
170,9,r03wn,2023-03-09,B,3.0
171,16,DWtx2,2023-03-10,D,3.0
172,9,kCcpL,2023-03-10,C,3.0
173,17,QYQeD,2023-03-10,C,2.0
174,19,byAjQ,2023-03-10,A,3.0
175,18,ifMcq,2023-03-11,B,3.0
176,2,Y9HmU,2023-03-12,B,3.0
178,4,nZzRH,2023-03-12,A,3.0
179,2,iHtc5,2023-03-12,B,2.0
181,14,eSov6,2023-03-13,E,4.0
182,15,CWFj6,2023-03-13,E,3.0
183,1,6rkSZ,2023-03-14,C,4.0
184,18,tcLOI,2023-03-14,C,3.0
185,16,IwDAA,2023-03-15,B,4.0
186,16,jQIUm,2023-03-15,D,4.0
187,6,FakEq,2023-03-16,B,1.0
188,18,MQif1,2023-03-16,C,1.0
189,12,75bu6,2023-03-16,E,3.0
190,19,Ck0Pk,2023-03-17,C,2.0
191,9,s4MN3,2023-03-17,C,2.0
192,15,4Qm7B,2023-03-17,C,2.0
193,14,Umf19,2023-03-18,D,4.0
194,19,q1WG9,2023-03-18,A,3.0
195,10,uWunE,2023-03-18,D,2.0
196,13,DFwZi,2023-03-18,E,3.0
197,9,Wxgnd,2023-03-19,E,4.0
198,16,KcpJn,2023-03-19,A,4.0
199,1,YvGTT,2023-03-19,B,1.0
200,4,nMhKb,2023-03-19,A,3.0
201,6,1jtOA,2023-03-20,E,3.0
202,12,BLKc4,2023-03-21,D,1.0
203,16,4zeE5,2023-03-21,D,3.0
204,12,eRkKp,2023-03-22,C,3.0
205,2,Ujq9v,2023-03-23,C,1.0
207,18,Tr0Ow,2023-03-24,C,1.0
208,18,gxawV,2023-03-25,E,3.0
209,15,bO9WL,2023-03-26,E,3.0
210,1,eKpZF,2023-03-27,A,4.0
211,3,Sf3IG,2023-03-27,B,4.0
212,7,HZrf7,2023-03-27,A,1.0
213,7,WKht4,2023-03-28,A,2.0
214,1,YDUdb,2023-03-28,A,3.0
215,1,3D9rT,2023-03-28,A,3.0
216,9,J7zzY,2023-03-28,B,4.0
217,7,sQccR,2023-03-29,D,3.0
218,15,jkbeE,2023-03-30,D,2.0
219,18,qBzIQ,2023-03-30,E,1.0
220,1,t2Wm4,2023-03-30,E,2.0
221,15,PQXEe,2023-03-30,E,1.0
222,18,9pH91,2023-03-31,D,4.0
223,8,HqM0h,2023-03-31,E,3.0
224,15,kqVTK,2023-04-01,A,3.0
225,4,O6suD,2023-04-02,B,2.0
226,6,hETq4,2023-04-02,E,4.0
228,18,yZGXO,2023-04-03,D,2.0
230,3,T9sx1,2023-04-03,A,1.0
231,10,lN47s,2023-04-03,D,1.0
232,16,lZNwO,2023-04-04,A,1.0
233,9,3oJE5,2023-04-04,E,4.0
234,9,V8lWv,2023-04-05,A,2.0
235,16,YM2n6,2023-04-05,B,1.0
236,12,kM3Vg,2023-04-05,E,2.0
237,12,L1KIT,2023-04-06,A,2.0
238,11,UwqCT,2023-04-06,B,1.0
239,8,C4yAl,2023-04-06,A,2.0
240,2,zKgmp,2023-04-07,B,2.0
241,18,9lj2T,2023-04-07,B,1.0
242,1,ZzqHY,2023-04-07,D,3.0
243,13,6sTuT,2023-04-08,C,2.0
244,2,X3igw,2023-04-08,D,3.0
245,18,gJmwr,2023-04-08,E,3.0
246,4,OY7fn,2023-04-09,A,4.0
247,10,dPvlm,2023-04-09,C,3.0
248,7,f42FW,2023-04-10,E,4.0
249,8,oAB5W,2023-04-10,D,4.0
250,1,8tOdU,2023-04-10,A,3.0
251,6,iDMfN,2023-04-11,B,3.0
252,7,YGqKf,2023-04-12,A,1.0
253,3,ZycBv,2023-04-12,B,4.0
254,17,KTJYg,2023-04-13,C,3.0
255,8,8dRnT,2023-04-13,C,1.0
256,17,urmpD,2023-04-13,E,3.0
257,9,LSZ1Q,2023-04-14,B,2.0
258,17,XuT4y,2023-04-14,D,1.0
259,8,DShSp,2023-04-14,B,2.0
260,12,2cj1y,2023-04-14,A,4.0
261,16,IdRxY,2023-04-15,A,4.0
262,2,ZDiRw,2023-04-15,C,3.0
263,16,Urttl,2023-04-15,D,3.0
264,5,sioDx,2023-04-16,C,4.0
265,13,Meefc,2023-04-16,E,3.0
266,8,chzYw,2023-04-17,E,4.0
267,17,VVdJy,2023-04-17,C,1.0
268,2,5VrpC,2023-04-17,D,1.0
269,11,tsyki,2023-04-17,E,3.0
270,13,bR95N,2023-04-18,D,1.0
271,3,m0MWv,2023-04-19,B,3.0
272,9,WsdnT,2023-04-19,D,4.0
273,15,gg2nu,2023-04-19,C,4.0
274,1,4PGzB,2023-04-19,C,1.0
275,10,IGwBr,2023-04-20,E,1.0
276,10,IgBrd,2023-04-21,A,4.0
277,19,06LVW,2023-04-21,C,4.0
278,7,ZpL3t,2023-04-21,B,1.0
279,2,9uJgZ,2023-04-21,D,3.0
280,19,ZtzcR,2023-04-22,D,3.0
281,2,Uj1OR,2023-04-22,B,4.0
282,3,zaYVl,2023-04-23,D,1.0
283,11,gwukv,2023-04-23,A,3.0
284,13,R3dBb,2023-04-24,D,2.0
285,9,69wUg,2023-04-25,B,4.0
286,4,oJqrp,2023-04-26,D,1.0
287,10,Ca652,2023-04-27,B,1.0
288,10,9Giqx,2023-04-27,D,4.0
289,14,oPD8I,2023-04-27,C,4.0
290,6,AP2G1,2023-04-28,B,4.0
291,5,XC4jO,2023-04-29,D,3.0
292,3,BIt6G,2023-04-29,C,4.0
294,18,S4NAN,2023-04-30,B,4.0
295,1,ZCe0d,2023-04-30,D,4.0
296,14,4jtlL,2023-04-30,E,3.0
297,12,nvPh9,2023-04-30,D,4.0
